a0,b0,b1,b2,b3,b4,b5,b6
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFvbyoHUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFBcLUSUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFCyUUQUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrK5DvDUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2Ur_oaxNUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrcCCr3UCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFMvpoJUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2Ur5wncXUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFHr7tTUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrGUAgvUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFG_z2eUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrAj3GrUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrCBd50UCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFt2mbHUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFdjmDsUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UraUmnJUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrYKF_9UCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrxYYHFUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFG5CzCUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFb4vEfUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFse74sUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2Ur4UawoUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2Uramo5QUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFKnjKvUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrD83xKUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFChTdWUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFlG1EtUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFS8liJUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFmxa-YUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFUXloIUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrI7LnOUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFvkhyQUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFz7DdiUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFgOSkdUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrGRSiLUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFQJSkWUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2Ur3oDkVUCa0xDrUUUUj,STARTTLS,8BITMIME
